SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
305140,-37.559491,143.893601,Arts Bldg Secondary College 1 Fussell Street BALLARAT,VIC,4,3350,Within 10 metres,,KX2L
305141,-37.792369,144.984946,MF&ESB Site 433 Smith Street FITZROY,VIC,2,3068,Within 10 metres,23,KX3P
305142,-37.841479,145.013837,703 Orrong Road TOORAK,VIC,2,3142,Within 10 metres,,LX1M
305143,-37.972517,146.984484,1 Stratford Road MAFFRA,VIC,4,3860,Within 10 metres,,LX2P
305144,-37.844327,147.077768,Avon Street BRIAGALON,VIC,4,3860,Within 10 metres,,LX3M
305145,-37.814534,144.779306,85 William Angliss Drive LAVERTON NORTH,VIC,2,3026,Within 10 metres,,KX3P
305147,-35.809718,144.223623,Water Tower King George St COHUNA,VIC,4,3568,Within 10 metres,78,KW6M
305148,-37.556885,149.753409,NRE Office Buckland Drive MALLACOOTA,VIC,4,3892,Within 10 metres,,MX2L
305149,-36.051951,144.110828,Pyramid Hill Water Tower off Victoria street PYRAMID HILL,VIC,4,3575,Within 10 metres,86,KW9A
305150,-36.126593,143.72631,Boort water tower off Andrews Street BOORT,VIC,4,3537,Within 10 metres,104,KW8C
305151,-36.27118,143.97167,Jarklin Water tower Jarklin East Road JARKLIN,VIC,4,3517,Within 10 metres,,KW8H
305154,-37.936577,145.191346,Optus cnr Police & Jacksons Roads MULGRAVE,VIC,2,3170,Within 10 metres,,LX1M
305155,-38.334403,144.963726,Optus Site 30 Gibson St DROMANA,VIC,2,3936,Within 10 metres,,KX6H
305156,-37.819055,144.946425,Crn Piggot Street & Dockland Drive WEST MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
305157,-37.966415,145.322661,540 Belgrave Hallam Road NARRE WARREN,VIC,2,3804,Within 10 metres,,LX1N
305159,-35.227559,143.467706,Header Tank Murray Valley Highway via WOORINEN,VIC,4,3589,Within 10 metres,64,KW5B
305164,-37.920345,145.066038,748 Centre Rd EAST BENTLEIGH,VIC,2,3165,Within 10 metres,,LX1M
305166,-37.366352,144.498408,Marriages Basin Water Treatment Plant Donalds Road WOODEND,VIC,2,3442,Within 10 metres,,KX3F
305168,-37.672268,144.425815,Stamford Hill Tank Main Street BACCHUS MARSH,VIC,2,3340,Within 10 metres,,KX3J
305169,-38.270522,146.389545,Slot Bunker Hazelwood Power Station Brodribb Road MORWELL,VIC,4,3840,Within 10 metres,,LX5F
305174,-37.83585,144.801108,57 Cherry Lane LAVERTON NORTH,VIC,2,3026,Within 10 metres,,KX3P
305175,-37.96135,147.095537,Water tank Princes Highway STRATFORD,VIC,4,3862,Within 10 metres,,LX3M
305182,-38.084747,145.784198,HV transmission tower Mount Road LONGWARRY NORTH,VIC,4,3816,Within 10 metres,51,LX4D
305183,-37.858818,144.788492,SCT Transport Blanalko Crt ALTONA,VIC,2,3018,Within 10 metres,,KX3P
305184,-38.530175,145.382955,Shetland Heights Shetland Heights Road SAN REMO,VIC,4,3925,Within 10 metres,,LX4J
305185,-37.838424,146.274716,The Summit Currawong Road MT BAW BAW,VIC,4,3833,Within 10 metres,1566,LX2N
305186,-37.817281,144.932638,Power Pylon Docklands Drive DOCKLANDS,VIC,2,3000,Within 10 metres,,KX3P
305188,-36.741524,142.28777,English Transport School Rd HORSHAM,VIC,4,3401,Within 100 metres,,KW7J
305189,-35.507631,142.8462,Optus Site 18 Lake Rd SEALAKE,VIC,4,3533,Within 10 metres,77,KW4L
305190,-35.722022,143.10351,Optus Site Railway Street CULGOA,VIC,4,3530,Within 10 metres,107,KW5I
305193,-36.381515,141.93136,Optus Site cnr Z2 Rd & Western Hwy GERANG GERANG,VIC,4,3418,Within 10 metres,111,JW9H
305195,-35.308733,142.715365,Optus Tower Calder Highway NANDALY,VIC,4,3533,Within 10 metres,61,KW4G
305196,-38.450794,145.238577,Optus Site cnr Thompson Ave & Chapel St COWES,VIC,4,3922,Within 10 metres,18,LX4E
305197,-37.830997,144.935186,578 Plummer St PORT MELBOURNE,VIC,2,3207,Within 10 metres,,KX3P
305198,-37.82933,144.922405,115 Salmon St PORT MELBOURNE,VIC,2,3207,Within 10 metres,,KX3P
305199,-36.573418,142.124461,Optus Site Verandah Swamp Rd PIMPINIO,VIC,4,3401,Within 10 metres,139,KW7I
305200,-38.32701,144.31374,Optus Site 28A Baines Cres TORQUAY,VIC,2,3228,Within 10 metres,39,KX6F
305201,-35.157869,142.653316,Optus Site Calder Hwy MITTYACK,VIC,4,3490,Within 10 metres,60,KW4C
305202,-35.072983,142.311794,Optus Site Gregory St OUYEN,VIC,4,3490,Within 10 metres,59,KW4B
305204,-37.89905,145.191811,SPI Tower 357 Jells Park WHEELERS HILL,VIC,2,3150,Within 10 metres,94,LX1M
